Feat01,Feat02,Feat03,Feat04,Feat05,Feat06,Feat07,Feat08,Feat09,Feat10,Target
0,11617.463,135.9359,10960,491.59738,80.714966,0.67567784,16.891947,0.5067584,1.1989958,137
0,1086607.0,1983.9006,13065,1391.0284,64.22157,0.8805232,0.14675386,0.14675386,1.230974,335
0,37945.953,2726.253,8772,222.95291,37.589306,0.3253358,16.26679,0.4880037,1.2080148,172
0,79471.82,3448.0657,36414,883.3459,662.17053,0.2575647,0.0,0.12878235,1.2569014,867
1,5486.58,1509.7535,13040,742.2533,99.31502,0.12981638,0.0,0.12981638,1.2554096,815
0,215380.98,3844.3713,55875,982.60876,693.3736,0.3940429,0.13134763,0.3940429,1.2532004,745
1,2574322.0,12178.15,30304,1354.0281,287.82642,0.25467005,0.0,0.38200507,1.2589895,947
1,1129631.1,1628.9507,6344,937.23,156.75497,0.46173963,0.0,0.1539132,1.2206452,244
1,3536.676,1646.9265,2977,408.58414,65.23435,0.62172407,0.15543102,0.15543102,1.2184554,229
0,7122.324,6710.873,57372,1672.5931,195.1082,0.3985919,13.286397,0.13286397,1.2510128,683
0,3586839.0,5122.428,67920,3671.3381,681.43317,0.6456562,0.12913124,0.38739374,1.2563981,849
1,21588.863,549.38916,24320,1602.7477,118.23996,0.13494958,0.13494958,0.40484875,1.248004,608
1,22562.54,2862.6545,12740,309.9032,165.17542,0.0,0.1389969,0.1389969,1.242165,490
0,1323308.2,791.10266,16002,1639.6146,361.40643,0.7201706,0.14403412,0.14403412,1.2348977,381
1,14390.948,822.36255,14456,166.73332,15.131708,0.6035348,0.1508837,0.4526511,1.2250159,278
0,75626.76,1159.4669,27072,1085.8802,106.89441,1.0101609,0.0,0.1443087,1.2345016,376
1,3224.232,4439.6616,24072,282.22333,278.96985,0.0,0.1455753,0.1455753,1.2326742,354
1,344967.8,3914.488,21936,1624.6945,110.86499,0.8421427,14.035711,0.42107135,1.2402025,457
0,46185.215,6217.8296,18176,1787.4563,184.39648,0.54480165,0.0,0.40860125,1.2461994,568
0,40888.32,1119.2628,15840,750.4665,128.77464,0.43708643,0.14569548,0.43708643,1.2325009,352
0,4263.93,9393.899,15930,412.92856,352.8479,0.5419964,0.0,0.40649733,1.2472111,590
0,177.408,2399.3833,21504,2715.8557,166.96964,0.6541258,13.082516,0.3924755,1.2539543,768
1,273.9,9412.034,9960,1272.0071,391.9637,0.27736944,0.0,0.13868472,1.2426153,498
1,36009.49,3845.066,29128,1029.1744,88.705536,0.40025267,13.341756,0.40025267,1.2502142,662
0,692797.6,7147.893,22440,443.30576,482.3251,0.39882517,13.294172,0.39882517,1.2509006,680
0,22737.33,1128.1499,26775,532.4472,217.14667,0.4442751,0.1480917,0.1480917,1.2290438,315
0,3898889.8,10746.221,38385,1401.8959,75.242035,0.2581058,0.0,0.1290529,1.2565111,853
1,27062.64,515.904,28944,1105.0226,4.5825586,0.5404005,13.510014,0.13510013,1.2477868,603
1,12.716,2721.5625,20808,0.0,124.5056,0.27175486,0.0,0.4076323,1.2466654,578
0,4538.512,5207.3506,28920,527.82196,52.37136,0.12704718,12.704719,0.38114154,1.2594047,964
1,111116.21,1795.311,10416,245.48727,91.192696,0.4818699,0.0,0.4818699,1.2109646,186
1,16335.462,2198.6113,3133,263.91098,9.275162,0.30841365,0.0,0.4626205,1.2202216,241
0,3150.763,5648.859,58667,421.86847,184.7248,0.27775812,0.0,0.4166372,1.2423348,493
1,159060.95,1088.8718,3638,372.3869,9.814841,0.0,17.62789,0.17627889,1.1883783,107
0,24805.639,6205.678,6285,614.08466,142.67697,0.42626527,0.14208843,0.14208843,1.2377048,419
1,3221274.0,3809.5515,0,1188.7006,694.4329,0.0,0.12764694,0.38294083,1.2585394,929
0,2563175.2,4508.3784,32334,654.66327,284.36646,0.40257385,13.419128,0.13419127,1.249098,634
0,59245.26,2904.929,21476,569.0272,146.84653,0.5695209,0.0,0.42714065,1.2372838,413
0,26122.383,3980.7092,30650,2352.0896,351.09424,0.80880356,0.0,0.40440178,1.2482189,613
1,105791.13,2826.0417,29880,757.42725,792.7634,0.12652226,12.652226,0.12652226,1.260162,996
1,84619.39,833.29584,29952,571.0902,72.08385,0.56893456,14.223365,0.42670095,1.2374953,416
1,6281.352,3599.5166,3708,1582.0557,269.92712,0.7425734,14.851468,0.44554403,1.2284336,309
